date,posts,cumulative_posts,platform,topic
2023-05-12,938,61101,fb,gpt4
2023-05-13,635,61736,fb,gpt4
2023-05-14,504,62240,fb,gpt4
2023-05-15,954,63194,fb,gpt4
2023-05-16,1493,64687,fb,gpt4
2023-05-17,1702,66389,fb,gpt4
2023-05-18,1269,67658,fb,gpt4
2023-05-19,1532,69190,fb,gpt4
2023-05-20,781,69971,fb,gpt4
2023-05-21,557,70528,fb,gpt4
2023-05-22,891,71419,fb,gpt4
2023-05-23,1074,72493,fb,gpt4
2023-05-24,1020,73513,fb,gpt4
2023-05-25,53,73566,fb,gpt4
2023-05-26,1069,74635,fb,gpt4
2023-05-27,751,75386,fb,gpt4
2023-05-28,575,75961,fb,gpt4
2023-05-29,821,76782,fb,gpt4
2023-05-30,1333,78115,fb,gpt4
2023-05-31,1140,79255,fb,gpt4
2023-06-01,1092,80347,fb,gpt4
2023-06-02,973,81320,fb,gpt4
2023-06-03,606,81926,fb,gpt4
2023-06-04,644,82570,fb,gpt4
2023-06-05,1061,83631,fb,gpt4
2023-06-06,1137,84768,fb,gpt4
2023-06-07,1335,86103,fb,gpt4
2023-06-08,1271,87374,fb,gpt4
2023-06-09,1286,88660,fb,gpt4
2023-03-09,213,213,ig,gpt4
2023-03-10,195,408,ig,gpt4
2023-03-11,135,543,ig,gpt4
2023-03-12,117,660,ig,gpt4
2023-03-13,139,799,ig,gpt4
2023-03-14,239,1038,ig,gpt4
2023-03-15,337,1375,ig,gpt4
2023-03-16,300,1675,ig,gpt4
2023-03-17,276,1951,ig,gpt4
2023-03-18,196,2147,ig,gpt4
2023-03-19,175,2322,ig,gpt4
2023-03-20,229,2551,ig,gpt4
2023-03-21,282,2833,ig,gpt4
2023-03-22,326,3159,ig,gpt4
2023-03-23,277,3436,ig,gpt4
2023-03-24,250,3686,ig,gpt4
2023-03-25,170,3856,ig,gpt4
2023-03-26,129,3985,ig,gpt4
2023-03-27,249,4234,ig,gpt4
2023-03-28,281,4515,ig,gpt4
2023-03-29,309,4824,ig,gpt4
2023-03-30,307,5131,ig,gpt4
2023-03-31,289,5420,ig,gpt4
2023-04-01,265,5685,ig,gpt4
2023-04-02,183,5868,ig,gpt4
2023-04-03,290,6158,ig,gpt4
2023-04-04,263,6421,ig,gpt4
2023-04-05,269,6690,ig,gpt4
2023-04-06,283,6973,ig,gpt4
2023-04-07,274,7247,ig,gpt4
2023-04-08,230,7477,ig,gpt4
2023-04-09,190,7667,ig,gpt4
2023-04-10,258,7925,ig,gpt4
2023-04-11,288,8213,ig,gpt4
2023-04-12,306,8519,ig,gpt4
2023-04-13,330,8849,ig,gpt4
2023-04-14,326,9175,ig,gpt4
2023-04-15,256,9431,ig,gpt4
2023-04-16,180,9611,ig,gpt4
2023-04-17,302,9913,ig,gpt4
2023-04-18,377,10290,ig,gpt4
2023-04-19,339,10629,ig,gpt4
2023-04-20,309,10938,ig,gpt4
2023-04-21,312,11250,ig,gpt4
2023-04-22,195,11445,ig,gpt4
2023-04-23,183,11628,ig,gpt4
2023-04-24,262,11890,ig,gpt4
2023-04-25,265,12155,ig,gpt4
2023-04-26,302,12457,ig,gpt4
2023-04-27,255,12712,ig,gpt4
2023-04-28,267,12979,ig,gpt4
2023-04-29,215,13194,ig,gpt4
2023-04-30,160,13354,ig,gpt4
2023-05-01,271,13625,ig,gpt4
2023-05-02,299,13924,ig,gpt4
2023-05-03,374,14298,ig,gpt4
2023-05-04,361,14659,ig,gpt4
2023-05-05,320,14979,ig,gpt4
2023-05-06,219,15198,ig,gpt4
2023-05-07,183,15381,ig,gpt4
2023-05-08,254,15635,ig,gpt4
2023-05-09,280,15915,ig,gpt4
2023-05-10,290,16205,ig,gpt4
2023-05-11,311,16516,ig,gpt4
2023-05-12,289,16805,ig,gpt4
2023-05-13,202,17007,ig,gpt4
2023-05-14,187,17194,ig,gpt4
2023-05-15,269,17463,ig,gpt4
2023-05-16,346,17809,ig,gpt4
2023-05-17,398,18207,ig,gpt4
2023-05-18,339,18546,ig,gpt4
2023-05-19,378,18924,ig,gpt4
2023-05-20,238,19162,ig,gpt4
2023-05-21,217,19379,ig,gpt4
2023-05-22,260,19639,ig,gpt4
2023-05-23,340,19979,ig,gpt4
2023-05-24,304,20283,ig,gpt4
2023-05-25,21,20304,ig,gpt4
2023-05-26,306,20610,ig,gpt4
2023-05-27,261,20871,ig,gpt4
2023-05-28,217,21088,ig,gpt4
2023-05-29,219,21307,ig,gpt4
2023-05-30,312,21619,ig,gpt4
2023-05-31,313,21932,ig,gpt4
2023-06-01,334,22266,ig,gpt4
2023-06-02,255,22521,ig,gpt4
2023-06-03,204,22725,ig,gpt4
2023-06-04,182,22907,ig,gpt4
2023-06-05,246,23153,ig,gpt4
2023-06-06,275,23428,ig,gpt4
2023-06-07,336,23764,ig,gpt4
2023-06-08,253,24017,ig,gpt4
2023-06-09,282,24299,ig,gpt4
2024-01-28,24,24,fb,apple
2024-01-29,100,124,fb,apple
2024-01-30,198,322,fb,apple
2024-01-31,168,490,fb,apple
2024-02-01,194,684,fb,apple
2024-02-02,329,1013,fb,apple
2024-02-03,248,1261,fb,apple
2024-02-04,248,1509,fb,apple
2024-02-05,350,1859,fb,apple
2024-02-06,366,2225,fb,apple
2024-02-07,246,2471,fb,apple
2024-02-08,219,2690,fb,apple
2024-02-09,175,2865,fb,apple
2024-02-10,92,2957,fb,apple
2024-02-11,103,3060,fb,apple
2024-02-12,186,3246,fb,apple
2024-02-13,143,3389,fb,apple
2024-02-14,154,3543,fb,apple
2024-02-15,279,3822,fb,apple
2024-02-16,219,4041,fb,apple
2024-02-17,127,4168,fb,apple
2024-02-18,80,4248,fb,apple
2024-02-19,147,4395,fb,apple
2024-02-20,173,4568,fb,apple
2024-02-21,202,4770,fb,apple
2024-02-22,97,4867,fb,apple
2024-02-23,118,4985,fb,apple
2024-02-24,62,5047,fb,apple
2024-02-25,47,5094,fb,apple
2024-02-26,102,5196,fb,apple
2024-02-27,109,5305,fb,apple
2024-02-28,114,5419,fb,apple
2024-02-29,97,5516,fb,apple
2024-03-01,101,5617,fb,apple
2024-03-02,56,5673,fb,apple
2024-03-03,42,5715,fb,apple
2024-03-04,78,5793,fb,apple
2024-03-05,75,5868,fb,apple
2024-03-06,51,5919,fb,apple
2024-03-07,58,5977,fb,apple
2024-03-08,60,6037,fb,apple
2024-03-09,42,6079,fb,apple
2024-03-10,42,6121,fb,apple
2024-03-11,73,6194,fb,apple
2024-03-12,89,6283,fb,apple
2024-03-13,89,6372,fb,apple
2024-03-14,124,6496,fb,apple
2024-03-15,92,6588,fb,apple
2024-03-16,41,6629,fb,apple
2024-03-17,38,6667,fb,apple
2024-03-18,66,6733,fb,apple
2024-03-19,62,6795,fb,apple
2024-03-20,49,6844,fb,apple
2024-03-21,47,6891,fb,apple
2024-03-22,45,6936,fb,apple
2024-03-23,24,6960,fb,apple
2024-03-24,44,7004,fb,apple
2024-03-25,70,7074,fb,apple
2024-03-26,75,7149,fb,apple
2024-03-27,46,7195,fb,apple
2024-03-28,68,7263,fb,apple
2024-03-29,72,7335,fb,apple
2024-03-30,33,7368,fb,apple
2024-03-31,21,7389,fb,apple
2024-04-01,41,7430,fb,apple
2024-04-02,67,7497,fb,apple
2024-04-03,68,7565,fb,apple
2024-04-04,50,7615,fb,apple
2024-04-05,48,7663,fb,apple
2024-04-06,29,7692,fb,apple
2024-04-07,27,7719,fb,apple
2024-04-08,33,7752,fb,apple
2024-04-09,78,7830,fb,apple
2024-04-10,51,7881,fb,apple
2024-04-11,40,7921,fb,apple
2024-04-12,43,7964,fb,apple
2024-04-13,25,7989,fb,apple
2024-04-14,12,8001,fb,apple
2024-04-15,26,8027,fb,apple
2024-04-16,40,8067,fb,apple
2024-04-17,47,8114,fb,apple
2024-04-18,48,8162,fb,apple
2024-04-19,43,8205,fb,apple
2024-04-20,17,8222,fb,apple
2024-04-21,18,8240,fb,apple
2024-04-22,33,8273,fb,apple
2024-04-23,72,8345,fb,apple
2024-04-24,88,8433,fb,apple
2024-04-25,81,8514,fb,apple
2024-04-26,53,8567,fb,apple
2024-04-27,39,8606,fb,apple
2024-04-28,24,8630,fb,apple
2024-01-28,8,8,ig,apple
2024-01-29,12,20,ig,apple
2024-01-30,23,43,ig,apple
2024-01-31,25,68,ig,apple
2024-02-01,43,111,ig,apple
2024-02-02,125,236,ig,apple
2024-02-03,124,360,ig,apple
2024-02-04,124,484,ig,apple
2024-02-05,197,681,ig,apple
2024-02-06,196,877,ig,apple
2024-02-07,140,1017,ig,apple
2024-02-08,106,1123,ig,apple
2024-02-09,68,1191,ig,apple
2024-02-10,44,1235,ig,apple
2024-02-11,39,1274,ig,apple
2024-02-12,39,1313,ig,apple
2024-02-13,59,1372,ig,apple
2024-02-14,62,1434,ig,apple
2024-02-15,69,1503,ig,apple
2024-02-16,49,1552,ig,apple
2024-02-17,39,1591,ig,apple
2024-02-18,30,1621,ig,apple
2024-02-19,37,1658,ig,apple
2024-02-20,51,1709,ig,apple
2024-02-21,38,1747,ig,apple
2024-02-22,21,1768,ig,apple
2024-02-23,31,1799,ig,apple
2024-02-24,28,1827,ig,apple
2024-02-25,15,1842,ig,apple
2024-02-26,25,1867,ig,apple
2024-02-27,24,1891,ig,apple
2024-02-28,34,1925,ig,apple
2024-02-29,26,1951,ig,apple
2024-03-01,23,1974,ig,apple
2024-03-02,11,1985,ig,apple
2024-03-03,20,2005,ig,apple
2024-03-04,13,2018,ig,apple
2024-03-05,14,2032,ig,apple
2024-03-06,15,2047,ig,apple
2024-03-07,23,2070,ig,apple
2024-03-08,17,2087,ig,apple
2024-03-09,4,2091,ig,apple
2024-03-10,9,2100,ig,apple
2024-03-11,14,2114,ig,apple
2024-03-12,20,2134,ig,apple
2024-03-13,38,2172,ig,apple
2024-03-14,19,2191,ig,apple
2024-03-15,25,2216,ig,apple
2024-03-16,9,2225,ig,apple
2024-03-17,6,2231,ig,apple
2024-03-18,17,2248,ig,apple
2024-03-19,18,2266,ig,apple
2024-03-20,12,2278,ig,apple
2024-03-21,15,2293,ig,apple
2024-03-22,14,2307,ig,apple
2024-03-23,14,2321,ig,apple
2024-03-24,12,2333,ig,apple
2024-03-25,18,2351,ig,apple
2024-03-26,17,2368,ig,apple
2024-03-27,18,2386,ig,apple
2024-03-28,12,2398,ig,apple
2024-03-29,13,2411,ig,apple
2024-03-30,8,2419,ig,apple
2024-03-31,6,2425,ig,apple
2024-04-01,12,2437,ig,apple
2024-04-02,12,2449,ig,apple
2024-04-03,19,2468,ig,apple
2024-04-04,23,2491,ig,apple
2024-04-05,16,2507,ig,apple
2024-04-06,9,2516,ig,apple
2024-04-07,8,2524,ig,apple
2024-04-08,9,2533,ig,apple
2024-04-09,16,2549,ig,apple
2024-04-10,12,2561,ig,apple
2024-04-11,19,2580,ig,apple
2024-04-12,9,2589,ig,apple
2024-04-13,7,2596,ig,apple
2024-04-14,4,2600,ig,apple
2024-04-15,13,2613,ig,apple
2024-04-16,14,2627,ig,apple
2024-04-17,5,2632,ig,apple
2024-04-18,12,2644,ig,apple
2024-04-19,13,2657,ig,apple
2024-04-20,2,2659,ig,apple
2024-04-21,5,2664,ig,apple
2024-04-22,13,2677,ig,apple
2024-04-23,16,2693,ig,apple
2024-04-24,30,2723,ig,apple
2024-04-25,26,2749,ig,apple
2024-04-26,16,2765,ig,apple
2024-04-27,7,2772,ig,apple
2024-04-28,9,2781,ig,apple
