date,cumulative_unique_users,platform,topic
2023-05-25,8073,ig,gpt4
2023-05-26,8169,ig,gpt4
2023-05-27,8216,ig,gpt4
2023-05-28,8260,ig,gpt4
2023-05-29,8329,ig,gpt4
2023-05-30,8415,ig,gpt4
2023-05-31,8508,ig,gpt4
2023-06-01,8588,ig,gpt4
2023-06-02,8661,ig,gpt4
2023-06-03,8721,ig,gpt4
2023-06-04,8766,ig,gpt4
2023-06-05,8847,ig,gpt4
2023-06-06,8950,ig,gpt4
2023-06-07,9044,ig,gpt4
2023-06-08,9113,ig,gpt4
2023-06-09,9191,ig,gpt4
2024-01-28,20,fb,apple
2024-01-29,77,fb,apple
2024-01-30,156,fb,apple
2024-01-31,221,fb,apple
2024-02-01,295,fb,apple
2024-02-02,463,fb,apple
2024-02-03,594,fb,apple
2024-02-04,714,fb,apple
2024-02-05,920,fb,apple
2024-02-06,1083,fb,apple
2024-02-07,1188,fb,apple
2024-02-08,1289,fb,apple
2024-02-09,1373,fb,apple
2024-02-10,1408,fb,apple
2024-02-11,1442,fb,apple
2024-02-12,1490,fb,apple
2024-02-13,1550,fb,apple
2024-02-14,1590,fb,apple
2024-02-15,1679,fb,apple
2024-02-16,1754,fb,apple
2024-02-17,1788,fb,apple
2024-02-18,1815,fb,apple
2024-02-19,1858,fb,apple
2024-02-20,1918,fb,apple
2024-02-21,2001,fb,apple
2024-02-22,2040,fb,apple
2024-02-23,2070,fb,apple
2024-02-24,2091,fb,apple
2024-02-25,2105,fb,apple
2024-02-26,2151,fb,apple
2024-02-27,2184,fb,apple
2024-02-28,2221,fb,apple
2024-02-29,2241,fb,apple
2024-03-01,2275,fb,apple
2024-03-02,2300,fb,apple
2024-03-03,2313,fb,apple
2024-03-04,2349,fb,apple
2024-03-05,2377,fb,apple
2024-03-06,2394,fb,apple
2024-03-07,2416,fb,apple
2024-03-08,2432,fb,apple
2024-03-09,2445,fb,apple
2024-03-10,2451,fb,apple
2024-03-11,2469,fb,apple
2024-03-12,2489,fb,apple
2024-03-13,2509,fb,apple
2024-03-14,2530,fb,apple
2024-03-15,2557,fb,apple
2024-03-16,2566,fb,apple
2024-03-17,2573,fb,apple
2024-03-18,2589,fb,apple
2024-03-19,2605,fb,apple
2024-03-20,2625,fb,apple
2024-03-21,2637,fb,apple
2024-03-22,2652,fb,apple
2024-03-23,2657,fb,apple
2024-03-24,2664,fb,apple
2024-03-25,2680,fb,apple
2024-03-26,2689,fb,apple
2024-03-27,2703,fb,apple
2024-03-28,2719,fb,apple
2024-03-29,2730,fb,apple
2024-03-30,2739,fb,apple
2024-03-31,2743,fb,apple
2024-04-01,2755,fb,apple
2024-04-02,2770,fb,apple
2024-04-03,2788,fb,apple
2024-04-04,2808,fb,apple
2024-04-05,2822,fb,apple
2024-04-06,2826,fb,apple
2024-04-07,2828,fb,apple
2024-04-08,2832,fb,apple
2024-04-09,2841,fb,apple
2024-04-10,2846,fb,apple
2024-04-11,2855,fb,apple
2024-04-12,2867,fb,apple
2024-04-13,2874,fb,apple
2024-04-14,2876,fb,apple
2024-04-15,2887,fb,apple
2024-04-16,2896,fb,apple
2024-04-17,2905,fb,apple
2024-04-18,2918,fb,apple
2024-04-19,2926,fb,apple
